,id,soc_code,description,Employed,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino",16-19,20-24,25-34,35-44,45-54,55-64,65+
164,220,29-1122,Occupational Therapists,124.0,0.8629999999999999,0.876,0.04,0.074,0.065,0.0,0.008064516129032258,0.31451612903225806,0.3225806451612903,0.18548387096774194,0.11290322580645161,0.06451612903225806
165,222,15-2031,Operations Research Analysts,156.0,0.42899999999999994,0.775,0.13599999999999998,0.086,0.095,0.0,0.05128205128205128,0.22435897435897437,0.20512820512820512,0.23717948717948717,0.24358974358974358,0.02564102564102564
166,225,29-2091,Orthotists and Prosthetists,185.0,0.617,0.5780000000000001,0.24800000000000003,0.153,0.135,0.02702702702702703,0.10810810810810811,0.22702702702702704,0.23243243243243245,0.23783783783783785,0.13513513513513514,0.03783783783783784
167,226,47-2141,"Painters, Construction and Maintenance",524.0,0.083,0.9,0.054000000000000006,0.005999999999999999,0.512,0.02099236641221374,0.0648854961832061,0.2385496183206107,0.2595419847328244,0.21755725190839695,0.16793893129770993,0.03244274809160305
168,227,51-9124,Painting and Coating Workers,148.0,0.081,0.8699999999999999,0.07799999999999999,0.015000000000000001,0.32200000000000006,0.02702702702702703,0.060810810810810814,0.22972972972972974,0.25,0.22972972972972974,0.16216216216216217,0.04054054054054054
169,228,23-2011,Paralegals and Legal Assistants,416.0,0.8579999999999999,0.799,0.103,0.06799999999999999,0.151,0.002403846153846154,0.09615384615384616,0.21875,0.1875,0.22596153846153846,0.18990384615384615,0.07692307692307693
170,229,53-3052,Passenger Vehicle Drivers,476.0,0.4370546218487395,0.642531512605042,0.2814390756302521,0.04546008403361344,0.14892857142857147,0.0,0.018907563025210083,0.11134453781512606,0.13445378151260504,0.25630252100840334,0.3067226890756303,0.17016806722689076
171,230,13-2052,Personal Financial Advisors,514.0,0.33999999999999997,0.785,0.079,0.10699999999999998,0.08199999999999999,0.0,0.054474708171206226,0.26264591439688717,0.22762645914396887,0.188715953307393,0.18482490272373542,0.08171206225680934
172,231,37-2021,Pest Control Workers,112.0,0.024999999999999998,0.853,0.062,0.005,0.309,0.0,0.125,0.25,0.25892857142857145,0.16071428571428573,0.1875,0.017857142857142856
173,233,29-1051,Pharmacists,327.0,0.6160000000000001,0.679,0.08300000000000002,0.2,0.034,0.0061162079510703364,0.021406727828746176,0.2996941896024465,0.2996941896024465,0.21406727828746178,0.11926605504587157,0.03669724770642202
174,234,29-2052,Pharmacy Technicians,336.0,0.772,0.728,0.15,0.07200000000000001,0.17600000000000002,0.03869047619047619,0.15178571428571427,0.3482142857142857,0.21428571428571427,0.10714285714285714,0.11904761904761904,0.023809523809523808
175,235,31-9097,Phlebotomists,101.0,0.848,0.6599999999999999,0.276,0.027999999999999994,0.19,0.019801980198019802,0.22772277227722773,0.2079207920792079,0.2376237623762376,0.18811881188118812,0.0891089108910891,0.019801980198019802
176,236,27-4021,Photographers,186.0,0.521,0.8490000000000001,0.067,0.055999999999999994,0.1,0.010752688172043012,0.06989247311827956,0.26881720430107525,0.2956989247311828,0.1935483870967742,0.12365591397849462,0.043010752688172046
177,237,31-2021,Physical Therapist Assistants and Aides,78.0,0.717,0.8859999999999999,0.06599999999999999,0.037,0.058,0.02564102564102564,0.16666666666666666,0.2692307692307692,0.23076923076923078,0.19230769230769232,0.08974358974358974,0.02564102564102564
178,238,29-1123,Physical Therapists,281.0,0.6719999999999999,0.778,0.052,0.15,0.044000000000000004,0.0,0.010676156583629894,0.3096085409252669,0.24555160142348753,0.2526690391459075,0.13167259786476868,0.046263345195729534
179,239,29-1071,Physician Assistants,141.0,0.655,0.7990000000000002,0.063,0.12300000000000003,0.07900000000000001,0.0,0.0070921985815602835,0.425531914893617,0.2765957446808511,0.1773049645390071,0.09219858156028368,0.02127659574468085
180,240,29-1221,Physicians and Surgeons,983.0,0.3981444557477111,0.6784598168870803,0.08263784333672432,0.21527568667344862,0.09173550356052901,0.0,0.004069175991861648,0.25228891149542215,0.23906408952187183,0.21871820956256358,0.17293997965412003,0.11393692777212615
181,242,47-2152,"Plumbers, Pipefitters, and Steamfitters",537.0,0.023,0.881,0.069,0.016999999999999998,0.245,0.0186219739292365,0.0931098696461825,0.2569832402234637,0.21973929236499068,0.1973929236499069,0.16945996275605213,0.0446927374301676
182,244,43-5031,"Police, Fire, and Ambulance Dispatchers",309.0,0.5527637540453074,0.7987831715210356,0.1421326860841424,0.017932038834951456,0.17115210355987057,0.019417475728155338,0.07766990291262135,0.22653721682847897,0.27184466019417475,0.18770226537216828,0.18122977346278318,0.032362459546925564
183,246,19-3094,Political Scientists,0.0,,,,,,,,,,,,
184,247,43-5052,Postal Service Workers,312.0,0.36700000000000005,0.7270000000000001,0.18699999999999997,0.06799999999999999,0.13599999999999998,0.00641025641025641,0.04487179487179487,0.1762820512820513,0.24358974358974358,0.26282051282051283,0.23397435897435898,0.035256410256410256
185,248,11-9033,Postsecondary Education Administrators,948.0,0.6649999999999999,0.7949999999999999,0.14300000000000002,0.032999999999999995,0.12000000000000001,0.0031645569620253164,0.007383966244725738,0.1550632911392405,0.2805907172995781,0.31223628691983124,0.18565400843881857,0.056962025316455694
186,249,25-1111,Postsecondary Teachers,2376.0,0.659905723905724,0.7653265993265993,0.10145622895622895,0.09351515151515151,0.1154006734006734,0.0180976430976431,0.09595959595959595,0.2117003367003367,0.1919191919191919,0.19402356902356901,0.18602693602693604,0.10101010101010101
187,251,11-9031,Preschool and Childcare Center Directors,948.0,0.6649999999999999,0.7949999999999999,0.14300000000000002,0.032999999999999995,0.12000000000000001,0.0031645569620253164,0.007383966244725738,0.1550632911392405,0.2805907172995781,0.31223628691983124,0.18565400843881857,0.056962025316455694
188,252,25-2011,Preschool Teachers,535.0,0.9880000000000001,0.8280000000000001,0.12000000000000001,0.022,0.153,0.024299065420560748,0.11401869158878504,0.2822429906542056,0.23925233644859814,0.19813084112149532,0.1102803738317757,0.029906542056074768
189,253,33-9021,Private Detectives and Investigators,90.0,0.454,0.716,0.21899999999999997,0.038,0.162,0.0,0.06666666666666667,0.3,0.23333333333333334,0.24444444444444444,0.14444444444444443,0.022222222222222223
190,254,21-1092,Probation Officers and Correctional Treatment Specialists,105.0,0.507,0.6659999999999999,0.269,0.007,0.128,0.0,0.009523809523809525,0.2571428571428571,0.23809523809523808,0.34285714285714286,0.11428571428571428,0.047619047619047616
