Title|Image_1|Image_2|Image_3|Image_4|Cap_2|Cap_3|Cap_4
Hand Laborers and Material Movers|https://www.bls.gov/ooh/images/15784.jpg|https://www.bls.gov/ooh/images/3230.jpg|https://www.bls.gov/ooh/images/3231.jpg|https://www.bls.gov/ooh/images/3232.jpg|Some vehicle and equipment cleaners wash cars.|Refuse and recyclable material collectors lift heavy garbage containers.|Hand laborers and material movers learn on the job.
Hazardous Materials Removal Workers|https://www.bls.gov/ooh/images/15243.jpg|https://www.bls.gov/ooh/images/2975.jpg|https://www.bls.gov/ooh/images/2976.jpg|https://www.bls.gov/ooh/images/2977.jpg|Hazmat removal workers remove, neutralize, or clean up hazardous materials.|Hazmat removal workers wear protective clothing to reduce exposure to toxic materials.|Hazmat removal workers learn on the job.
Health and Safety Engineers|https://www.bls.gov/ooh/images/15073.jpg|https://www.bls.gov/ooh/images/3252.jpg|https://www.bls.gov/ooh/images/3253.jpg|https://www.bls.gov/ooh/images/3592.jpg|Health and safety in the workplace is a major concern of health and safety engineers.|Health and safety engineers may need to spend time at worksites.|Health and safety engineers inspect facilities, machinery, and safety equipment to identify and correct potential hazards.
Health Educators and Community Health Workers|https://www.bls.gov/ooh/images/15174.jpg|https://www.bls.gov/ooh/images/1526.jpg|https://www.bls.gov/ooh/images/1527.jpg|https://www.bls.gov/ooh/images/1528.jpg|Health educators and community health workers educate people about the availability of healthcare services.|Health educators often work in hospitals, where they help patients understand and adjust to their diagnosis.|Health educators need at least a bachelor’s degree.
Heating, Air Conditioning, and Refrigeration Mechanics and Installers|https://www.bls.gov/ooh/images/15464.jpg|https://www.bls.gov/ooh/images/3030.jpg|https://www.bls.gov/ooh/images/3034.jpg|https://www.bls.gov/ooh/images/3035.jpg|HVACR technicians install, maintain, and repair heating, cooling, and refrigeration systems.|HVACR technicians work indoors and outdoors.|New HVACR technicians typically begin by working alongside experienced technicians.
Heavy and Tractor-trailer Truck Drivers|https://www.bls.gov/ooh/images/15786.jpg|https://www.bls.gov/ooh/images/3187.jpg|https://www.bls.gov/ooh/images/3189.jpg|https://www.bls.gov/ooh/images/3190.jpg|Some heavy and tractor-trailer truck drivers plan their own routes.|Some truck drivers travel far from home and can be on the road for long periods at a time.|Drivers learn the federal laws and regulations governing interstate trucking.
Heavy Vehicle and Mobile Equipment Service Technicians|https://www.bls.gov/ooh/images/15466.jpg|https://www.bls.gov/ooh/images/3020.jpg|https://www.bls.gov/ooh/images/3021.jpg|https://www.bls.gov/ooh/images/3022.jpg|Mechanics inspect, repair, and replace defective or worn parts.|Some service technicians travel to worksites to make repairs.|Heavy vehicle and mobile equipment service technicians must be familiar with engine components and systems.
High School Teachers|https://www.bls.gov/ooh/images/15269.jpg|https://www.bls.gov/ooh/images/3442.jpg|https://www.bls.gov/ooh/images/3444.jpg|https://www.bls.gov/ooh/images/3446.jpg|High school teachers generally specialize in a subject, such as English, math, or science.|High school teachers who specialize in science class may spend some of their day working in a lab.|High school teachers need to explain difficult concepts in terms students can understand.
Historians|https://www.bls.gov/ooh/images/3279.jpg|https://www.bls.gov/ooh/images/3281.jpg|https://www.bls.gov/ooh/images/3282.jpg|https://www.bls.gov/ooh/images/15532.jpg|Historians often study and preserve archival materials.|Historians may spend much of their time researching and writing reports.|Historians learn to use primary sources, such as letters and photographs, in their research.
Home Health and Personal Care Aides|https://www.bls.gov/ooh/images/15358.jpg|https://www.bls.gov/ooh/images/15360.jpg|https://www.bls.gov/ooh/images/15361.jpg|https://www.bls.gov/ooh/images/15357.jpg|Personal care aides assist clients in everyday tasks.|Many aides work in clients’ homes; others work in group homes or care communities.|Under the direction of a nurse or other healthcare practitioner, home health aides may be allowed to give a client medication.
Human Resources Managers|https://www.bls.gov/ooh/images/15582.jpg|https://www.bls.gov/ooh/images/1618.jpg||https://www.bls.gov/ooh/images/1620.jpg|Human resources managers often coordinate the work of a team of specialists.||Human resources managers typically need a combination of a bachelor&apos;s degree and work experience.
Human Resources Specialists|https://www.bls.gov/ooh/images/15148.jpg|https://www.bls.gov/ooh/images/1722.jpg|https://www.bls.gov/ooh/images/1724.jpg|https://www.bls.gov/ooh/images/1725.jpg|Recruitment specialists may distribute information at job fairs or online.|Employment interviewers speak with applicants and ask them questions before referring them to appropriate jobs.|Human resources specialists must usually have a bachelor’s degree in human resources, business, or a related field.
Hydrologists|https://www.bls.gov/ooh/images/15534.jpg|https://www.bls.gov/ooh/images/2026.jpg|https://www.bls.gov/ooh/images/2028.jpg|https://www.bls.gov/ooh/images/2029.jpg|Hydrologists collect water samples in the field.|Hydrologists solve problems concerning water quality and availability.|Hydrologists may be involved in ensuring waste water and other waste disposal sites do not leak contaminates into the groundwater.
Industrial Designers|https://www.bls.gov/ooh/images/15110.jpg|https://www.bls.gov/ooh/images/2249.jpg|https://www.bls.gov/ooh/images/2250.jpg|https://www.bls.gov/ooh/images/15109.jpg|Industrial designers work primarily in offices, but they may travel to the places where the products are manufactured.|Work spaces for industrial designers often include drafting tables and meeting rooms for brainstorming with colleagues.|A bachelor’s degree in industrial design, architecture, or engineering is usually required for entry-level industrial design jobs.
Industrial Engineering Technologists and Technicians|https://www.bls.gov/ooh/images/15075.jpg|https://www.bls.gov/ooh/images/1951.jpg|https://www.bls.gov/ooh/images/1952.jpg|https://www.bls.gov/ooh/images/1954.jpg|Industrial engineering technologists and technicians interpret schematic diagrams and formulas.|Industrial engineering technologists and technicians help carry out studies and make observations to assist industrial engineers.|Becoming an industrial engineering technologist or technician usually requires either an associate’s degree or a postsecondary certificate to enter the occupation.
Industrial Engineers|https://www.bls.gov/ooh/images/15077.jpg|https://www.bls.gov/ooh/images/1902.jpg|https://www.bls.gov/ooh/images/3545.jpg|https://www.bls.gov/ooh/images/1903.jpg|Industrial engineers develop job evaluation programs, amongst other duties.|Industrial engineers figure out how to manufacture parts or products or deliver services with maximum efficiency.|To find ways to reduce waste and improve performance, industrial engineers carefully study product requirements.
